#############################################,,,
# Title : Folk classification of sandstones,,,
# Description : data for creation of sandstones nomenclature using Ternary.R script and ggtern package,,,
# Date : 12/12/2014,,,
# Author : Jérémy Ragusa,,,
#############################################,,,
# Comment :,,,
# Values reported from Folk (1970),,,
#############################################,,,
z,x,y,line
95,5,0,1
95,0,5,1
75,25,0,2
75,0,25,2
95,2.5,2.5,3
0,50,50,3
75,6.25,18.75,4
0,25,75,4
75,18.75,6.25,5
0,75,25,5
