sample,location,petrofacies,HMC,tHMC,Ap,Mz,Chl,FeO,Grt undet,Alm,Grs,Alm-Prp,Alm-Prp-Grs,Bt,Ms,Rt,St,Ttn,Tur undet,Drv,Srl,Zrn,&tHM,Opaque,Other,Undet,total
JR20,Upper Saxel quarry,Feldspathic,1.715,1.389,9617,579,3832,3384,96,724,32,3228,25,3823,938,6375,25,3864,244,1,243,1535,32,6025,4826,229,39481
JR21,Upper Saxel quarry,Feldspathic,1.127,0.873,7931,542,1708,10214,99,1635,7,2235,96,1104,1241,6395,94,1177,529,3,526,1311,33,255,9790,344,38796
JR273,Fillignes 2 quarry,Quartzose,0.795,0.574,4355,193,972,2703,16,202,0,592,5,1203,1168,2426,129,544,759,13,746,713,18,4881,6273,233,23596
JR278,Chez le Merizier stream,Quartzose,0.807,0.596,4409,412,525,4242,36,499,0,1062,27,1001,426,9497,258,1619,2815,21,2794,1658,48,7275,4696,266,38765
JR329,Allinges Castle quarry,Quartzose,0.650,0.594,2866,368,648,2258,37,295,0,626,23,560,801,5401,66,2511,1797,20,1777,1205,26,543,12346,108,31048
JR330,Allinges Castle quarry,Quartzose,0.457,0.343,4596,644,605,8027,57,968,0,786,46,656,447,7028,83,1082,2440,16,2424,2031,57,850,5014,168,32785
JR331,La Molertaz stream,Feldspathic,0.474,0.332,4246,442,1405,14467,85,5584,14,2234,3,807,938,8919,80,2535,391,13,378,1513,56,118,4496,99,44135
JR341,Allinges Castle path,Quartzose,0.483,0.368,4369,827,114,7877,39,414,0,218,14,985,247,4113,69,723,6674,23,6651,1805,30,62,4624,31,34713
JR347,La Molertaz stream,Feldspathic,0.805,0.650,5387,793,1400,5609,61,1377,0,2183,25,744,576,11429,360,2363,1360,15,1345,2052,68,2595,4025,196,37783
JR349,La Janière,Quartzose,0.929,0.823,6517,840,129,3830,40,181,0,144,13,139,86,9205,324,2928,3137,28,3109,4804,133,28,1462,103,29823
JR352,Combe Ecuer stream,Quartzose,0.718,0.415,7180,769,87,5577,30,312,1,140,11,446,299,7361,590,2166,2101,15,2086,1309,153,1942,1737,143,26506
JR353,Combe Ecuer stream,Quartzose,0.805,0.618,5870,1046,679,5676,68,699,15,749,36,1590,1114,7695,684,824,2955,14,2941,2148,112,7079,5680,553,41311
JR370,Chauffemérande stream,Quartzose,0.692,0.536,1646,273,283,7013,323,495,8,701,20,1491,389,2342,95,2984,974,7,967,1253,31,1443,13752,338,34909
JR375,Grotte au Loups,Feldspathic,0.863,0.679,3647,246,2393,9087,34,6438,0,3725,15,2131,1759,6269,5,1102,269,16,253,594,57,109,5089,142,39487
JR376,Fenalet quarry,Quartzose,0.728,0.521,8483,239,208,328,4,7,0,847,0,795,348,8019,0,525,1470,24,1446,1281,139,4073,11035,451,31000
JR5,Bons quarry,Quartzose,0.417,0.346,2960,179,1069,4795,34,140,3,1112,20,7449,356,3138,66,1130,591,17,574,623,35,1003,9055,745,31955
JR57,Saxel stream,Quartzose,1.357,1.035,2298,155,3374,9321,156,3974,0,3031,25,6785,939,3351,399,1645,903,10,893,767,158,701,3827,377,40636
JR75,Supersaxel road,Quartzose,1.277,1.129,1817,320,283,5696,58,1006,1,628,31,211,196,2886,217,4192,1463,7,1456,1577,34,7347,2036,63,29388
