unit,site,azimut,bed,type
Voirons Sandstone,Bons quarry,45,8,groove cast
Voirons Sandstone,Bons quarry,77,4,flute cast
Boëge Marl,Chauffemérande stream,171,27,flute cast
Voirons Sandstone,Curseilles stream 4b,161,39G,groove cast
Voirons Sandstone,la Moutonnière,202,55,flute cast
Voirons Sandstone,la Moutonnière,18,34,flute cast
Voirons Sandstone,la Moutonnière,204,73,flute cast
Voirons Sandstone,la Moutonnière,20,73,flute cast
Boëge Marl,Saxel stream,91,16,groove cast
Vouan Conglomerate,Saxel upper quarry,150,8,flute cast
Voirons Sandstone,Bons quarry,52,8,groove cast
Voirons Sandstone,Bons quarry,58,8,groove cast
Voirons Sandstone,Bons quarry,58,6,groove cast
Voirons Sandstone,Saxel lower quarry,91,16,flute cast
Voirons Sandstone,Saxel lower quarry,92,,flute cast
Voirons Sandstone,Saxel lower quarry,132,,flute cast
Voirons Sandstone,la Moutonnière,114,,flute cast
Voirons Sandstone,la Moutonnière,120,,flute cast
Voirons Sandstone,la Moutonnière,118,,flute cast
Vouan Conglomerate,Saxel upper quarry,132,7,groove cast
Vouan Conglomerate,Saxel upper quarry,151,5,flute cast
Vouan Conglomerate,Saxel upper quarry,93,5,groove cast
Voirons Sandstone,Rocher d’escalade,346,8a,flute cast
Boëge Marl,Dranse,154,7,flute cast
Boëge Marl,Dranse,109,25,flute cast
Boëge Marl,Dranse,169,36,flute cast
