unit,site,azimut,bed,type,corrected
Winkler (1984),,"72,9",,flute cast,73
Winkler (1984),,45,,flute cast,45
Winkler (1984),,"77,74",,flute cast,75
Winkler (1984),,"357,8",,flute cast,357
Winkler (1984),,"33,02",,flute cast,33
Winkler (1984),,"55,62",,flute cast,56
Winkler (1984),,"64,44",,flute cast,64
Winkler (1984),,"119,05",,flute cast,119
Winkler (1984),,"294,2",,flute cast,294
Winkler (1984),,"74,58",,flute cast,75
Winkler (1984),,"1,91",,flute cast,2
Winkler (1984),,"30,38",,flute cast,30
Winkler (1984),,"55,3",,flute cast,55
Winkler (1984),,"63,43",,flute cast,63
Winkler (1984),,"119,74",,flute cast,120
